Source Port,Destination Port,Packet Length,Anomaly Scores,Attack Signature,Source IP Address,Destination IP Address
21,53,2190,0.68,SIGNATURE-1,192.168.1.1,10.0.0.1
22,443,2817,0.94,SIGNATURE-2,192.168.1.2,10.0.0.2
53,25,1929,0.97,SIGNATURE-3,192.168.1.3,10.0.0.3
80,3389,1286,0.84,SIGNATURE-4,192.168.1.4,10.0.0.4
80,3306,1166,0.18,SIGNATURE-5,192.168.1.5,10.0.0.5
25,8080,1075,0.77,SIGNATURE-6,192.168.1.6,10.0.0.6
21,3306,2283,0.41,SIGNATURE-7,192.168.1.7,10.0.0.7
8080,3306,2950,0.76,SIGNATURE-8,192.168.1.8,10.0.0.8
443,3306,2984,0.66,SIGNATURE-9,192.168.1.9,10.0.0.9
80,8080,503,0.33,SIGNATURE-10,192.168.1.10,10.0.0.10
